Round,Accuracy,Loss
1,0.7899159663865546,0.6641696840524673
2,0.8428184281842819,0.41645718854536534
3,0.907563025210084,0.32241348177194595
4,0.812,0.46122199296951294
5,0.93,0.19370653899386525
6,0.9186991869918699,0.19269853117585506
7,0.9159663865546218,0.1864100657403469
8,0.9159663865546218,0.1864100657403469
9,0.92,0.19569184072315693
