Round,Successful_Clients,Failed_Clients,Aggregation_Time_sec,Total_Round_Time_sec
1,3,0,0.29026739997789264,58.571422999957576
2,3,0,0.3742008999688551,58.52937350003049
3,3,0,0.26472010009456426,58.43062569992617
4,2,1,0.19944420002866536,55.270958300097845
