model,hospital,accuracy,precision,recall,f1,roc_auc,pr_auc
A_only,Hospital_A,0.96,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9778088578088577,0.9533497073832183
Federated,Hospital_A,0.96,0.8813559322033898,0.9454545454545454,0.9122807017543859,0.985920745920746,0.9757188358858446
A_only,Hospital_B,0.976,0.9902912621359223,0.9807692307692307,0.9855072463768116,0.9973672161172162,0.9994721434130541
Federated,Hospital_B,0.996,0.9952153110047847,1.0,0.9976019184652278,0.9994276556776557,0.9998838667457219
A_only,Hospital_C,0.9327731092436975,1.0,0.9148936170212766,0.9555555555555556,0.9906382978723405,0.9975795351271693
Federated,Hospital_C,0.9663865546218487,1.0,0.9574468085106383,0.9782608695652174,0.9970212765957447,0.9992274292948763
