Round,Accuracy,Loss
1,0.7899159663865546,0.6822891980409622
2,0.5528455284552846,0.7073840664896539
3,0.9105691056910569,0.25785795360965136
4,0.912,0.24726254492998123
5,0.9186991869918699,0.21747067447014778
