Round,Accuracy,Loss
1,0.6260162601626016,0.6467110999635242
2,0.8834688346883469,0.25666560586996195
3,0.9349593495934959,0.17990510265133408
4,0.94579945799458,0.1409720817585867
5,0.948509485094851,0.13776982549406325
6,0.968,0.09259460371686146
7,0.978319783197832,0.069178760129653
8,0.9701897018970189,0.07248981335474214
9,0.962059620596206,0.12160928199713833
10,0.974,0.0935459965839982
