Round,Accuracy,Loss
1,0.8056206088992974,0.6063290042955367
2,0.910761154855643,0.2214506341261076
3,0.892271662763466,0.2817305797532166
4,0.9180327868852459,0.21004426144325203
5,0.9437939110070258,0.15148820369711596
