Round,Successful_Clients,Failed_Clients,Aggregation_Time_sec,Total_Round_Time_sec
1,3,0,0.27866009999979724,55.60364149999987
2,3,0,0.25853449999976874,32.10558020000008
3,3,0,0.2659813000000213,32.33252210000046
4,3,0,0.36323040000024776,38.0683353000004
5,3,0,0.2696689999993396,33.25375150000036
6,3,0,0.26247179999973014,32.88837380000041
7,3,0,0.25880899999992835,33.084216899999774
8,3,0,0.23871889999918494,32.22782599999937
9,3,0,0.25504129999990255,32.501860000000306
10,3,0,0.23618869999972958,32.776049399999465
