client,round,record_type,epoch_time_sec,training_time_sec,payload_size_bytes,payload_size_mb,quantized_payload_size_bytes,quantized_payload_size_mb,compression_ratio,payload_reduction_percent,accuracy,loss,device,epsilon,delta,dp_noise_multiplier,dp_max_grad_norm,evaluation_time_sec
Hospital_C,1,training,20.464872100041248,40.19000199995935,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_C,1,training,19.725023100036196,40.19000199995935,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_C,1,evaluation,,,,,,,,,0.8571428571428571,0.5252921432256699,cpu,,,,,4.697877799975686
Hospital_C,2,training,16.004941000021063,31.81729420006741,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_C,2,training,15.81224639993161,31.81729420006741,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_C,2,evaluation,,,,,,,,,0.9327731092436975,0.18172441981732845,cpu,,,,,4.570127099985257
Hospital_C,3,training,14.908789500012062,30.174165799980983,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_C,3,training,15.265289000002667,30.174165799980983,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_C,3,evaluation,,,,,,,,,0.9411764705882353,0.14388594962656498,cpu,,,,,4.6333711999468505
Hospital_C,4,training,15.122134999954142,30.701385600026697,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_C,4,training,15.579016099916771,30.701385600026697,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_C,4,evaluation,,,,,,,,,0.9663865546218487,0.12770798802375793,cpu,,,,,4.702550900052302
Hospital_C,5,training,15.39629269996658,31.283538699964993,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_C,5,training,15.887110300012864,31.283538699964993,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_C,5,evaluation,,,,,,,,,0.9327731092436975,0.15841154381632805,cpu,,,,,4.771343900007196
Hospital_C,6,training,15.354025300010107,31.128358699963428,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_C,6,training,15.774253699928522,31.128358699963428,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_C,7,training,15.494067399995402,31.20109390001744,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_C,7,training,15.706923600053415,31.20109390001744,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_C,8,training,15.915120700025,32.26966160000302,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_C,8,training,16.35442700004205,32.26966160000302,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_C,8,evaluation,,,,,,,,,0.9747899159663865,0.13066365476697683,cpu,,,,,4.903666300000623
Hospital_C,9,training,21.245896200067364,42.016298300004564,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_C,9,training,20.770279999938793,42.016298300004564,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_C,9,evaluation,,,,,,,,,0.9747899159663865,0.08877596445381641,cpu,,,,,4.689589399960823
Hospital_C,10,training,15.888185099931434,31.902550900005735,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_C,10,training,16.014214100083336,31.902550900005735,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_C,10,evaluation,,,,,,,,,0.9495798319327731,0.17981740646064281,cpu,,,,,4.6000159999821335
