Round,Successful_Clients,Failed_Clients,Aggregation_Time_sec,Total_Round_Time_sec
1,3,0,0.5691246000351384,144.81718719995115
2,3,0,0.8852397999726236,133.61432639998384
3,3,0,0.7276225999230519,132.5598116000183
4,3,0,0.6053123999154195,133.32403879996855
5,3,0,0.5728019999805838,134.06928910000715
6,3,0,0.636132700019516,133.5727863999782
7,3,0,0.5578936000820249,133.77250510000158
8,3,0,0.5933940999675542,135.00540190003812
9,3,0,0.6798312999308109,149.27914609992877
10,3,0,0.4902801000280306,135.60496230004355
