Round,Accuracy,Loss
1,0.8907563025210085,0.3709467872977257
2,0.892,0.3810611739754677
3,0.932,0.2019667299464345
4,0.936,0.15504463762044907
5,0.944,0.12965457374230027
6,0.96,0.11604566127061844
7,0.96,0.10807901894440874
8,0.966,0.09794050909113139
9,0.96,0.13827378241694532
10,0.97,0.09579151184880175
